index,value
0,1035
1,1802
2,1354
3,893
4,-26
5,-286
6,-462
7,-535
8,-620
9,-633
10,-678
11,-548
12,-432
13,-419
14,-399
15,-390
16,-378
17,-343
18,-314
19,-329
20,-333
21,-370
22,-388
23,-386
24,-354
25,-353
26,-380
27,-364
28,-353
29,-385
30,-407
31,-419
32,-436
33,-453
34,-447
35,-462
36,-473
37,-434
38,-416
39,-415
40,-450
41,-463
42,-475
43,-424
44,-397
45,-395
46,-337
47,-319
48,-236
49,0
50,319
51,805
52,1322
53,1339
54,843
55,9
56,-575
57,-653
58,-726
59,-582
60,-879
61,-525
62,979
63,9388
64,15323
65,2522
66,-1281
67,-1303
68,-1345
69,-1131
70,-1153
71,-1001
72,-1356
73,-1242
74,-1174
75,-795
76,-583
77,-527
78,-549
79,-559
80,-507
81,-466
82,-470
83,-417
84,-368
85,-174
86,223
87,632
88,932
89,1203
90,1568
91,1963
92,1891
93,1741
94,1251
95,611
96,57
97,-370
98,-472
99,-566
100,-760
101,-821
102,-759
103,-695
104,-580
105,-486
106,-432
107,-425
108,-378
109,-299
110,-253
111,-284
112,-335
113,-351
114,-404
115,-415
116,-435
117,-474
118,-477
119,-467
120,-479
121,-486
122,-492
123,-494
124,-472
125,-447
126,-444
127,-474
128,-424
129,-381
130,-434
131,-473
132,-500
133,-585
134,-608
135,-586
136,-560
137,-535
138,-477
139,-427
140,-404
141,-221
142,137
143,525
144,994
145,1240
146,1045
147,620
148,-324
149,-825
150,-629
151,-643
152,-792
153,-776
154,-179
155,4793
156,14564
157,7091
158,-311
159,-1094
160,-1334
161,-1233
162,-1538
163,-1288
164,-1415
165,-1658
166,-1401
167,-1292
168,-844
169,-625
170,-649
171,-661
172,-633
173,-568
174,-617
175,-614
176,-496
177,-279
178,42
179,471
180,800
181,1106
182,1534
183,1841
184,2002
185,1992
186,1631
187,961
188,326
189,-226
190,-443
191,-541
192,-733
193,-899
194,-809
195,-787
196,-679
197,-534
198,-469
199,-430
200,-396
201,-380
202,-407
203,-413
204,-415
205,-441
206,-435
207,-436
208,-414
209,-425
210,-495
211,-535
212,-555
213,-533
214,-523
215,-516
216,-495
217,-456
218,-473
219,-454
220,-413
221,-446
222,-467
223,-470
224,-482
225,-482
226,-522
227,-548
228,-570
229,-580
230,-545
231,-485
232,-430
233,-388
234,-372
235,-337
236,-30
237,229
238,641
239,1076
240,1075
241,630
242,-23
243,-671
244,-880
245,-839
246,-764
247,-896
248,-492
249,620
250,8764
251,16220
252,3229
253,-1356
254,-1337
255,-1505
256,-1210
257,-1265
258,-1052
259,-1435
260,-1364
261,-1291
262,-907
263,-680
264,-525
265,-551
266,-545
267,-462
268,-492
269,-396
270,-356
271,-163
272,149
273,532
274,938
275,1175
276,1498
277,1857
278,2117
279,2152
280,2057
281,1598
282,842
283,240
284,-215
285,-449
286,-518
287,-628
288,-706
289,-689
290,-596
291,-515
292,-426
293,-366
294,-372
295,-353
296,-373
297,-376
298,-338
299,-389
300,-396
301,-378
302,-385
303,-379
304,-363
305,-364
306,-383
307,-379
308,-364
309,-381
310,-386
311,-374
312,-374
313,-366
314,-408
315,-420
316,-405
317,-361
318,-352
319,-386
320,-420
321,-453
322,-440
323,-376
324,-366
325,-324
326,-317
327,-253
328,-129
329,239
330,652
331,1183
332,1435
333,1252
334,607
335,-433
336,-676
337,-529
338,-565
339,-553
340,-558
341,-167
342,4312
343,13929
344,7455
345,-138
346,-1337
347,-1204
348,-1203
349,-1265
350,-1000
351,-1050
352,-1281
353,-1037
354,-978
355,-546
356,-388
357,-434
358,-416
359,-465
360,-414
361,-447
362,-395
363,-299
364,-100
365,232
366,650
367,896
368,1188
369,1602
370,1945
371,2138
372,1913
373,1546
374,955
375,330
376,-134
377,-422
378,-519
379,-579
380,-686
381,-738
382,-640
383,-542
384,-461
385,-415
386,-378
387,-379
388,-352
389,-373
390,-374
391,-357
392,-359
393,-333
394,-349
395,-381
396,-379
397,-445
398,-468
399,-444
400,-462
401,-462
402,-417
403,-411
404,-414
405,-427
406,-438
407,-438
408,-459
409,-471
410,-454
411,-459
412,-486
413,-483
414,-433
415,-398
416,-396
417,-369
418,-288
419,32
420,325
421,825
422,1271
423,1251
424,615
425,-286
426,-742
427,-751
428,-936
429,-640
430,-1392
431,-711
432,1251
433,9887
434,13887
435,2116
436,-1181
437,-1173
438,-1333
439,-1158
440,-1162
441,-1055
442,-1464
443,-1302
444,-1212
445,-765
446,-571
447,-524
448,-544
449,-546
450,-526
451,-564
452,-543
453,-481
454,-373
455,-62
456,447
457,775
458,1073
459,1466
460,1844
461,2134
462,2085
463,1786
464,1221
465,555
466,-41
467,-402
468,-515
469,-617
470,-764
471,-849
472,-784
473,-711
474,-586
475,-491
476,-462
477,-462
478,-363
479,-349
480,-337
481,-353
482,-353
483,-374
484,-439
485,-476
486,-496
487,-503
488,-473
489,-459
490,-463
491,-433
492,-463
493,-499
494,-509
495,-520
496,-520
497,-482
498,-451
499,-474
500,-511
501,-532
502,-528
503,-519
504,-513
505,-482
506,-471
507,-440
508,-376
509,-404
510,-460
511,-388
512,-42
513,267
514,811
515,1097
516,1081
517,537
518,-139
519,-819
520,-813
521,-775
522,-771
523,-1048
524,-640
525,896
526,9477
527,15562
528,2882
529,-1301
530,-1369
531,-1511
532,-1243
533,-1312
534,-1126
535,-1462
536,-1318
537,-1239
538,-837
539,-656
540,-609
541,-617
542,-582
543,-607
544,-593
545,-593
546,-560
547,-316
548,44
549,346
550,746
551,1046
552,1410
553,1823
554,2113
555,2183
556,1892
557,1249
558,637
559,26
560,-385
561,-526
562,-632
563,-760
564,-799
565,-754
566,-691
567,-531
568,-422
569,-376
570,-386
571,-419
572,-432
573,-420
574,-395
575,-411
576,-399
577,-392
578,-458
579,-448
580,-478
581,-534
582,-545
583,-548
584,-549
585,-546
586,-476
587,-421
588,-460
589,-487
590,-540
591,-522
592,-531
593,-571
594,-611
595,-585
596,-531
597,-521
598,-511
599,-550
600,-558
601,-587
602,-553
603,-536
604,-547
605,-511
606,-183
607,187
608,603
609,969
610,1218
611,431
612,-150
613,-859
614,-920
615,-888
616,-750
617,-849
618,-339
619,100
620,7818
621,16155
622,3475
623,-1533
624,-1336
625,-1511
626,-1294
627,-1592
628,-1304
629,-1670
630,-1682
631,-1556
632,-1174
633,-862
634,-656
635,-651
636,-615
637,-597
638,-580
639,-544
640,-487
641,-391
642,-270
643,20
644,471
645,861
646,1228
647,1581
648,1948
649,2087
650,2148
651,1534
652,845
653,209
654,-264
655,-425
656,-544
657,-727
658,-871
659,-845
660,-777
661,-679
662,-592
663,-510
664,-478
665,-452
666,-430
667,-406
668,-372
669,-369
670,-397
671,-428
672,-448
673,-435
674,-417
