repeat,phase,duration_s,voltage_V,current_mA,power_mW,steady_power_mW,energy_mJ
0,spin,3.00964,1.8103912561397923,3.3035709713339294,5.9806836610059255,5.980670045383118,17.999704773509876
0,denoise,3.01085,1.8100295497560375,4.936528202100945,8.935173823930265,8.935409184818493,26.902468107780443
0,segment,3.02069,1.810100667762825,4.10575844980866,7.431776986609674,7.43025968117572,22.449094425681977
0,arrhythmia,3.01596,1.8100437155728675,4.753124557251247,8.603312265397836,8.60300302506003,25.94724565994926
0,light_sleep,3.00988,1.8102673537911267,2.090132376508943,3.7835763915834613,3.7835800789368346,11.388110909499227
1,spin,3.00987,1.8100445385708983,3.3050963678586993,5.98230042130089,5.9822945504184855,18.005946569060907
1,denoise,3.01271,1.809899215934531,4.963203921514481,8.982810283940495,8.983034435527763,27.062602370530367
1,segment,3.02077,1.8101305490437856,4.116293731895045,7.450970630009731,7.449433758812706,22.507668550014497
1,arrhythmia,3.01591,1.809965843373166,4.774195661917228,8.641080570267375,8.640782196362348,26.060721302675084
1,light_sleep,3.00989,1.8103246756612366,2.0892219399078567,3.7820471651692396,3.7820414960972415,11.383545941971242
2,spin,3.00981,1.8101450722190808,3.296700584496983,5.9674343125426335,5.96742415464303,17.960843468233943
2,denoise,3.01177,1.8099065789044309,4.96446819546523,8.985135548573544,8.985346972391062,27.061161691127346
2,segment,3.02075,1.8100596277624785,4.11362868467711,7.445856744358301,7.444366225110738,22.49207176052034
2,arrhythmia,3.01586,1.8100351225628348,4.789110259717419,8.6684087236917,8.668094829505542,26.14270713343285
2,light_sleep,3.00989,1.8102721718335275,2.0895124078833622,3.7824628282106327,3.782427264096666,11.384797042002901
